,0,1,2,3
zero,8,9,13,7
47,7,22,16,7
51,7,4,1,6
64,7,10,23,11
87,7,6,4,6
88,7,3,1,6
98,7,15,6,15
106,7,1,2,1
119,7,2,2,5
125,7,7,9,5
136,7,5,1,6
138,7,2,0,5
192,7,7,6,4
220,7,0,3,4
250,7,6,8,6
398,7,7,1,9
405,7,5,5,6
457,7,2,2,5
600,7,3,2,4
615,7,3,0,6
727,7,1,2,1
849,7,3,1,3
896,7,6,3,6
account,7,6,8,5
additions,7,6,9,8
agency,7,8,7,8
analogous,7,7,7,7
analysts,7,7,5,7
assessing,7,9,2,5
authority,7,9,8,8
beneficial,7,7,8,7
budget,7,5,4,6
carried,7,3,1,2
case,7,11,13,8
classification,7,9,12,8
clean,7,8,8,7
complete,7,11,13,7
complex,7,7,8,7
constraints,7,9,10,8
conversion,7,18,16,0
corresponding,7,7,6,9
course,7,4,3,4
court,7,12,17,7
critical,7,11,10,6
dependent,7,4,7,7
depending,7,7,8,8
detailed,7,6,4,7
determination,7,8,11,7
differences,7,7,7,6
dividing,7,2,2,2
downward,7,7,12,6
drill,7,12,17,9
engaged,7,6,6,6
ensure,7,8,8,7
evaluated,7,14,17,9
exist,7,6,6,7
expenditure,7,6,6,5
expertise,7,8,8,7
factor,7,4,4,4
flaring,7,13,11,12
focused,7,5,11,2
fuel,7,6,6,6
geophysical,7,6,9,5
highly,7,5,3,7
implement,7,7,7,6
indicated,7,8,5,11
involves,7,6,7,7
issuing,7,2,2,2
judgment,7,10,10,8
late,7,4,0,6
law,7,4,7,5
leasehold,7,6,7,6
making,7,8,7,9
mitigate,7,5,6,5
model,7,8,6,7
money,7,3,2,4
necessarily,7,7,6,7
obama,7,7,5,6
objective,7,8,9,7
oklahoma,7,8,13,7
operator,7,18,8,7
original,7,3,5,5
outcomes,7,5,2,6
outlook,7,7,6,8
oversight,7,6,3,6
partner,7,0,0,7
past,7,6,5,8
people,7,5,5,5
physical,7,6,7,6
planthe,7,2,1,6
positions,7,9,7,4
post,7,11,4,4
practice,7,8,6,7
pre,7,16,11,12
prevailing,7,6,6,7
prevent,7,9,9,7
quarters,7,5,10,3
real,7,7,7,7
recalculate,7,0,0,0
reducing,7,9,6,7
replace,7,7,7,7
research,7,7,5,7
reservoirs,7,7,6,7
response,7,8,6,10
responsible,7,5,5,5
rig,7,19,8,20
rock,7,24,16,7
scheduled,7,9,13,9
settle,7,15,18,7
short,7,7,5,7
spacing,7,6,14,9
status,7,7,7,7
strip,7,11,10,8
technique,7,6,4,9
testing,7,5,5,8
timely,7,7,7,7
totaled,7,13,10,11
trading,7,13,13,5
treasury,7,4,4,4
uncertainty,7,10,12,7
understanding,7,7,5,7
variety,7,7,6,7
waste,7,14,9,8
widely,7,5,2,5
williston,7,16,5,2
53,6,16,8,9
60,6,4,3,3
61,6,21,6,19
69,6,9,7,5
76,6,9,20,11
86,6,8,6,7
103,6,6,10,9
126,6,12,3,8
169,6,4,4,6
199,6,2,5,3
200,6,18,5,14
268,6,2,2,1
285,6,1,0,3
286,6,4,3,8
325,6,0,3,1
333,6,3,1,5
368,6,1,5,3
466,6,5,1,8
511,6,5,0,4
561,6,6,4,4
583,6,9,0,8
592,6,0,0,5
597,6,4,4,5
630,6,1,0,1
638,6,1,4,3
648,6,3,0,5
720,6,1,6,2
734,6,1,1,1
935,6,0,2,2
2007,6,3,3,4
acceptable,6,5,5,7
adoption,6,13,17,8
affecting,6,6,9,7
agent,6,13,4,8
allocation,6,9,10,7
allowance,6,6,4,8
alternative,6,7,7,6
