,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
52,2019-02-21,33.7900,33.8600,33.0850,33.3700,33.1390,3848983,0.0000,1.0000
53,2019-02-20,33.2900,34.2100,33.2850,33.8000,33.5661,5013966,0.0000,1.0000
54,2019-02-19,33.0500,33.7200,32.9850,33.3100,33.0794,3039994,0.0000,1.0000
55,2019-02-15,33.0800,33.4900,32.7900,33.3000,33.0695,4873090,0.0000,1.0000
56,2019-02-14,31.9900,32.9100,31.9300,32.6700,32.4439,3972550,0.0000,1.0000
57,2019-02-13,31.2300,32.3900,31.0900,32.2800,32.0566,4721736,0.0000,1.0000
58,2019-02-12,30.9800,31.6100,30.9450,31.0800,30.8649,4817690,0.0000,1.0000
59,2019-02-11,29.5000,30.5900,29.4800,30.3500,30.1399,3228505,0.0000,1.0000
60,2019-02-08,30.4600,30.7500,29.3200,29.8700,29.6633,4388430,0.0000,1.0000
61,2019-02-07,31.5400,31.7050,30.2100,30.5300,30.3187,3927706,0.0000,1.0000
62,2019-02-06,32.5200,32.6400,31.8200,31.8500,31.6296,4385951,0.0000,1.0000
63,2019-02-05,33.0500,33.2650,32.6650,32.8300,32.6028,3886837,0.0000,1.0000
64,2019-02-04,32.0000,33.1500,31.7600,33.1300,32.9007,5384762,0.0000,1.0000
65,2019-02-01,33.1200,33.1200,32.2900,32.6500,32.4240,5799698,0.0000,1.0000
66,2019-01-31,33.4500,33.4800,32.6050,32.8200,32.5928,4330011,0.0000,1.0000
67,2019-01-30,33.2400,33.4800,32.8100,33.4000,33.1688,3361022,0.0000,1.0000
68,2019-01-29,32.6100,33.4500,32.5800,33.0800,32.8510,5734336,0.0000,1.0000
69,2019-01-28,31.4200,32.3700,31.3250,32.2900,32.0665,4626634,0.0000,1.0000
70,2019-01-25,32.1100,32.4500,31.6900,32.0600,31.8381,4476849,0.0000,1.0000
71,2019-01-24,30.9200,31.9000,30.7700,31.8400,31.6196,4443667,0.0000,1.0000
72,2019-01-23,31.7300,31.8100,30.5500,30.9700,30.7556,4191115,0.0000,1.0000
73,2019-01-22,31.6000,31.8899,31.3200,31.5200,31.3018,4161366,0.0000,1.0000
74,2019-01-18,31.9100,32.4000,31.7000,32.0900,31.8679,4621789,0.2500,1.0000
75,2019-01-17,31.0000,31.9100,30.7800,31.6900,31.2274,3943206,0.0000,1.0000
76,2019-01-16,32.0500,32.2100,31.1800,31.2100,30.7544,8929696,0.0000,1.0000
77,2019-01-15,32.1700,32.5100,31.4800,31.7500,31.2865,4821858,0.0000,1.0000
78,2019-01-14,30.6000,31.8600,30.5100,31.5700,31.1091,4698548,0.0000,1.0000
79,2019-01-11,30.6500,31.2200,30.3500,31.1000,30.6460,4909903,0.0000,1.0000
80,2019-01-10,30.2600,30.9900,30.1200,30.9600,30.5080,3929942,0.0000,1.0000
81,2019-01-09,29.7600,30.9300,29.4500,30.8600,30.4095,6869149,0.0000,1.0000
82,2019-01-08,29.2400,29.6000,28.7500,29.3600,28.9314,4131008,0.0000,1.0000
83,2019-01-07,28.3700,29.1500,27.9200,28.9300,28.5077,3924411,0.0000,1.0000
84,2019-01-04,27.7800,28.4300,27.4700,28.3200,27.9066,4215658,0.0000,1.0000
85,2019-01-03,27.1200,27.8000,26.6100,27.1800,26.7832,5351459,0.0000,1.0000
86,2019-01-02,25.6100,27.5800,25.5894,27.1100,26.7142,4629500,0.0000,1.0000
87,2018-12-31,26.5000,26.9399,25.9400,26.2500,25.8668,4429868,0.0000,1.0000
88,2018-12-28,27.0100,27.1500,26.2550,26.3400,25.9555,4855126,0.0000,1.0000
89,2018-12-27,26.5000,26.7400,25.6070,26.7400,26.3496,5420515,0.0000,1.0000
90,2018-12-26,25.6500,27.0600,24.5600,27.0400,26.6453,7648356,0.0000,1.0000
91,2018-12-24,26.1700,26.3300,25.2600,25.4000,25.0292,3044512,0.0000,1.0000
92,2018-12-21,26.8600,27.5000,26.3100,26.5500,26.1624,9967583,0.0000,1.0000
93,2018-12-20,28.3000,29.0500,26.8400,27.0000,26.6058,6196919,0.0000,1.0000
94,2018-12-19,29.4600,30.1838,28.5400,28.7500,28.3303,5916535,0.0000,1.0000
95,2018-12-18,30.1600,30.3100,29.0500,29.2400,28.8131,8197033,0.0000,1.0000
96,2018-12-17,30.0500,30.8700,29.9500,30.1700,29.7296,6620111,0.0000,1.0000
97,2018-12-14,30.9200,31.4800,30.0800,30.2400,29.7985,6897442,0.0000,1.0000
98,2018-12-13,31.1400,31.5400,30.3000,31.3000,30.8431,5957208,0.0000,1.0000
99,2018-12-12,31.0800,32.2500,31.0000,31.3300,30.8726,6013907,0.0000,1.0000
